Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"يودع الأمين لدى سجل الإفلاس حكم المحكمة بافتتاح إجراء إعادة التنظيم المالي لصغار المدينين أو قرارها بقبول الإيداع القضائي، وذلك خلال (خمسة) أيام من تاريخ افتتاح الإجراء.",متى يجب على الأمين أن يودع حكم المحكمة بافتتاح إجراء إعادة التنظيم المالي لصغار المدينين أو قرارها بقبول الإيداع القضائي؟,خلال خمسة أيام من تاريخ افتتاح الإجراء,خلال ثلاثة أيام من تاريخ افتتاح الإجراء,خلال خمسة أيام من تاريخ افتتاح الإجراء,خلال عشرة أيام من تاريخ افتتاح الإجراء,خلال سبعة أيام من تاريخ افتتاح الإجراء,1
"يودع الأمين لدى سجل الإفلاس حكم المحكمة بافتتاح إجراء إعادة التنظيم المالي لصغار المدينين أو قرارها بقبول الإيداع القضائي، وذلك خلال (خمسة) أيام من تاريخ افتتاح الإجراء.",من يودع حكم المحكمة بافتتاح إجراء إعادة التنظيم المالي لصغار المدينين أو قرارها بقبول الإيداع القضائي؟,الأمين,النائب العام,المدير العام,القاضي,الأمين,3
يصح الصلح ولو كان الحق الذي يشمله مجهولاً إذا كانت الجهالة لا تمنع التسليم وكان الحق مما يتعذّر العلم به في مدة قريبة بحسب طبيعة الحق ومقداره ومكانه.,ما هي الشروط التي يجب توافرها لكي يكون الصلح صحيحاً في حالة كون الحق مجهولاً؟,الجهالة لا تمنع التسليم والحق مما يتعذّر العلم به في مدة قريبة,الجهالة تمنع التسليم والحق مما يتعذّر العلم به في مدة قريبة,الجهالة لا تمنع التسليم والحق مما يتعذّر العلم به في مدة قريبة,الجهالة تمنع التسليم والحق مما يمكن العلم به في مدة قريبة,الجهالة لا تمنع التسليم والحق مما يمكن العلم به في مدة قريبة,1
"1- للإدارة العامة للتحريات المالية الحصول مباشرة من مقدم البلاغ على أي معلومة إضافية تعينها على تحليلها، وفي الحالات التي لا تكون فيها المؤسسات المالية قد قدمت بلاغاً بموجب المادة (الخامسة عشرة) من النظام أو إذا رغبت الإدارة العامة للتحريات المالية في الحصول على معلومات لا علاقة لها ببلاغ تلقته؛ فإنها تطلب المعلومات من خلال الجهة الرقابية المختصّة، وعلى المؤسسات المالية والأعمال والمهن غير المالية المحددة والمنظمات غير الهادفة إلى الربح تقديم ما يُطلب منها بصورة عاجلة.  2- للإدارة العامة للتحريات المالية الحصول على أي معلومة مالية أو إدارية أو قانونية أو أي معلومة ذات صلة, تجمعها أو تحتفظ بها السلطات المختصة -أو من ينوب عنها- وفقاً للأحكام المقررة نظاماً، وترى أنها ضرورية لأداء مهماتها.",من يمكن للإدارة العامة للتحريات المالية الحصول على المعلومات منهم مباشرة؟,مقدم البلاغ,المؤسسات المالية,الجهة الرقابية المختصة,المنظمات غير الهادفة إلى الربح,مقدم البلاغ,3
"1- للإدارة العامة للتحريات المالية الحصول مباشرة من مقدم البلاغ على أي معلومة إضافية تعينها على تحليلها، وفي الحالات التي لا تكون فيها المؤسسات المالية قد قدمت بلاغاً بموجب المادة (الخامسة عشرة) من النظام أو إذا رغبت الإدارة العامة للتحريات المالية في الحصول على معلومات لا علاقة لها ببلاغ تلقته؛ فإنها تطلب المعلومات من خلال الجهة الرقابية المختصّة، وعلى المؤسسات المالية والأعمال والمهن غير المالية المحددة والمنظمات غير الهادفة إلى الربح تقديم ما يُطلب منها بصورة عاجلة.  2- للإدارة العامة للتحريات المالية الحصول على أي معلومة مالية أو إدارية أو قانونية أو أي معلومة ذات صلة, تجمعها أو تحتفظ بها السلطات المختصة -أو من ينوب عنها- وفقاً للأحكام المقررة نظاماً، وترى أنها ضرورية لأداء مهماتها.",ما هي أنواع المعلومات التي يمكن للإدارة العامة للتحريات المالية الحصول عليها؟,المعلومة المالية أو الإدارية أو القانونية أو أي معلومة ذات صلة,المعلومات الشخصية للموظفين,المعلومات الخاصة بالمنافسين في السوق,المعلومات الخاصة بالعملاء فقط,المعلومة المالية أو الإدارية أو القانونية أو أي معلومة ذات صلة,3
"إذا كان الحق المُدَّعى به ناشئاً قبل نفاذ النظام، فتحتسب المدة المنصوص عليها في المادة الرابعة والعشرين من النظام اعتباراً من تاريخ نفاذ النظام.",متى يتم حساب المدة المنصوص عليها في المادة الرابعة والعشرين من النظام إذا كان الحق المُدَّعى به ناشئاً قبل نفاذ النظام؟,اعتباراً من تاريخ نفاذ النظام,اعتباراً من تاريخ تقديم الدعوى,اعتباراً من تاريخ نفاذ النظام,اعتباراً من تاريخ الحكم في الدعوى,اعتباراً من تاريخ نشأة الحق المُدَّعى به,1
"إذا كان الحق المُدَّعى به ناشئاً قبل نفاذ النظام، فتحتسب المدة المنصوص عليها في المادة الرابعة والعشرين من النظام اعتباراً من تاريخ نفاذ النظام.",هل يمكن حساب المدة المنصوص عليها في المادة الرابعة والعشرين من النظام قبل نفاذ النظام؟,لا,يعتمد على نوع الحق المُدَّعى به,لا,نعم,يعتمد على تقدير القاضي,1
"1- في العقود الملزمة للجانبين، إذا أصبح تنفيذ الالتزام مستحيلاً بسبب لا يد للمدين فيه، انقضى التزامه والالتزام المقابل له، وانفسخ العقد من تلقاء نفسه.  2- إذا كانت الاستحالة جزئيَّةً انقضى الالتزام في الجزء المستحيل وما يقابله فقط، ويسري هذا الحكم على الاستحالة الوقتية في العقود الزمنية، وفي كلتا الحالتين يجوز للدائن طلب فسخ العقد، وللمحكمة رفض طلب الفسخ إذا كان القدر المستحيل قليل الأهمية بالنسبة إلى الالتزام.",ماذا يحدث إذا أصبح تنفيذ الالتزام مستحيلاً في العقود الملزمة للجانبين بسبب لا يد للمدين فيه؟,"انقضى التزامه والالتزام المقابل له، وانفسخ العقد من تلقاء نفسه.","انقضى التزامه والالتزام المقابل له، وانفسخ العقد من تلقاء نفسه.",يتم تعويض الجانب الآخر عن الخسائر التي تكبدها.,يتم تجديد العقد بشروط جديدة.,يتم تجاهل الالتزام ويستمر العقد كما هو.,0
"1- في العقود الملزمة للجانبين، إذا أصبح تنفيذ الالتزام مستحيلاً بسبب لا يد للمدين فيه، انقضى التزامه والالتزام المقابل له، وانفسخ العقد من تلقاء نفسه.  2- إذا كانت الاستحالة جزئيَّةً انقضى الالتزام في الجزء المستحيل وما يقابله فقط، ويسري هذا الحكم على الاستحالة الوقتية في العقود الزمنية، وفي كلتا الحالتين يجوز للدائن طلب فسخ العقد، وللمحكمة رفض طلب الفسخ إذا كان القدر المستحيل قليل الأهمية بالنسبة إلى الالتزام.",ماذا يحدث إذا كانت الاستحالة جزئيَّة في العقود الملزمة للجانبين؟,انقضى الالتزام في الجزء المستحيل وما يقابله فقط.,يتم تجاهل الجزء المستحيل ويستمر الالتزام كما هو.,يتم تجديد العقد لاستبدال الجزء المستحيل بالتزام جديد.,يتم تعويض الجانب الآخر عن الجزء المستحيل من الالتزام.,انقضى الالتزام في الجزء المستحيل وما يقابله فقط.,3
"يحافظ المحامي على شرف المهنة ومكانتها، ولا يتصرف بما يخل بثقة الناس به أو بالمهنة.",ما هي واجبات المحامي تجاه مهنته؟,"يحافظ المحامي على شرف المهنة ومكانتها، ولا يتصرف بما يخل بثقة الناس به أو بالمهنة.",المحامي يتصرف بما يخدم مصالحه الشخصية فقط.,المحامي ليس ملزما بالحفاظ على شرف المهنة ومكانتها.,يتصرف المحامي بما يخل بثقة الناس به أو بالمهنة.,"يحافظ المحامي على شرف المهنة ومكانتها، ولا يتصرف بما يخل بثقة الناس به أو بالمهنة.",3
