question,ground_truth,question_i,llm,context,llm_answer,answer_similarity,questions,ground_truths,context_r,Experiment
على من ترفع الدعوى الجزائية الخاصة؟,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية، فإن لم يكن للمتهم ولي أو وصي؛ وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,0,GroundTruthLLM,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية. فإن لم يكن له ولي أو وصي، وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية، فإن لم يكن للمتهم ولي أو وصي؛ وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,5,على من ترفع الدعوى الجزائية الخاصة؟,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية، فإن لم يكن للمتهم ولي أو وصي؛ وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية. فإن لم يكن له ولي أو وصي، وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.,GroundTruthLLM | with Context
كم تبلغ المدة المحددة لإيقاف السير في الدعوى؟,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، وإذا رأت المحكمة تعليق حكمها في موضوع الدعوى على الفصل في مسألة أخرى يتوقف عليها الحكم، فتأمر بوقف الدعوى، وبمجرد زوال سبب التوقف يكون للخصوم طلب السير في الدعوى.,1,GroundTruthLLM,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، ولا يكون لهذا الوقف أثر في أي موعد حتمي قد حدده النظام لإجراء ما.  وإن طلب أحد الخصوم السير في الدعوى قبل انتهاء المدة المتفق عليها، فله ذلك بموافقة خصمه.  وإذا لم يعاود الخصوم السير في الدعوى في الأيام العشرة التالية لنهاية الأجل، عُدَّ المدعي تاركاً دعواه.,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، وإذا رأت المحكمة تعليق حكمها في موضوع الدعوى على الفصل في مسألة أخرى يتوقف عليها الحكم، فتأمر بوقف الدعوى، وبمجرد زوال سبب التوقف يكون للخصوم طلب السير في الدعوى.,5,كم تبلغ المدة المحددة لإيقاف السير في الدعوى؟,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، وإذا رأت المحكمة تعليق حكمها في موضوع الدعوى على الفصل في مسألة أخرى يتوقف عليها الحكم، فتأمر بوقف الدعوى، وبمجرد زوال سبب التوقف يكون للخصوم طلب السير في الدعوى.,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، ولا يكون لهذا الوقف أثر في أي موعد حتمي قد حدده النظام لإجراء ما.  وإن طلب أحد الخصوم السير في الدعوى قبل انتهاء المدة المتفق عليها، فله ذلك بموافقة خصمه.  وإذا لم يعاود الخصوم السير في الدعوى في الأيام العشرة التالية لنهاية الأجل، عُدَّ المدعي تاركاً دعواه.,GroundTruthLLM | with Context
كم تبلغ رسوم إصدار ترخيص مكتب محاماة أجنبي؟,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,2,GroundTruthLLM,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,5,كم تبلغ رسوم إصدار ترخيص مكتب محاماة أجنبي؟,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,GroundTruthLLM | with Context
كم تبلغ رسوم تجديد ترخيص مكتب محاماة أجنبي؟,يكون رسم تجديد الترخيص لمكتب المحاماة الأجنبي 1000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,3,GroundTruthLLM,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,يكون رسم تجديد الترخيص لمكتب المحاماة الأجنبي 1000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,5,كم تبلغ رسوم تجديد ترخيص مكتب محاماة أجنبي؟,يكون رسم تجديد الترخيص لمكتب المحاماة الأجنبي 1000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة,1- تكون مدة الترخيص لمزاولة مكتب المحاماة الأجنبي مهنة المحاماة في المملكة (خمس) سنوات، قابلة للتجديد لمدة أو لمدد أخرى مماثلة وفقاً للشروط المحددة في المادة (الخامسة والأربعين) من هذا النظام.  2- يكون رسم إصدار الترخيص لمكتب المحاماة الأجنبي بمبلغ قدره (ألفا) ريال، و(ألف) ريال عند تجديده.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية لطلب التنفيذ المباشر؟,خمسمائة ريال.,4,GroundTruthLLM,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,خمسمائة ريال.,5,كم تبلغ قيمة التكاليف القضائية لطلب التنفيذ المباشر؟,خمسمائة ريال.,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها الورقية أو الإلكترونية؟,خمسون ريالًا.,5,GroundTruthLLM,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,خمسون ريالًا.,5,كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها الورقية أو الإلكترونية؟,خمسون ريالًا.,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها -الورقية أو الإلكترونية- أو الوثائق أو الأوراق التي تحت يد المحكمة؟,مائة ريال.,6,GroundTruthLLM,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,مائة ريال.,5,كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها -الورقية أو الإلكترونية- أو الوثائق أو الأوراق التي تحت يد المحكمة؟,مائة ريال.,تكون التكاليف القضائية لكل طلب من الطلبات الواردة في المادة (الثامنة) من النظام على النحو الآتي:  1- طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية - أو الوثائق أو الأوراق التي تحت يد المحكمة؛ مائة ريال.  2- طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها - الورقية أو الإلكترونية-؛ خمسون ريالاً.  3- طلب نسخة بديلة للوثائق القضائية؛ مائة ريال.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم العامة؟,ثلاثة آلاف ريال.,7,GroundTruthLLM,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,ثلاثة آلاف ريال.,5,كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم العامة؟,ثلاثة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر التجارية؟,خمسة آلاف ريال.,8,GroundTruthLLM,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,خمسة آلاف ريال.,5,كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر التجارية؟,خمسة آلاف ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,GroundTruthLLM | with Context
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر العمالية؟,ألفا ريال.,9,GroundTruthLLM,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,ألفا ريال.,5,كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر العمالية؟,ألفا ريال.,تُقدّر التكاليف القضائية في الدعاوى غير محددة القيمة على النحو الآتي:  1- الدعاوى الجزائية الخاصة؛ عشرة آلاف ريال.  2- الدعاوى التي تُنظر لدى المحاكم التجارية والدوائر التجارية؛ خمسة آلاف ريال.  3- الدعاوى المستعجلة أيًا كانت المحكمة أو الدائرة التي تنظرها؛ ثلاثة آلاف ريال.  4- الدعاوى التي تُنظر لدى المحاكم العامة؛ ثلاثة آلاف ريال.  5- منازعات التنفيذ؛ ثلاثة آلاف ريال.  6- الدعاوى التي تُنظر لدى المحاكم العمالية والدوائر العمالية؛ ألفا ريال.,GroundTruthLLM | with Context
